churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-816288,A-c37cab,2024-10-27,pricing,4.03,False,False,False,switched to competitor
C-5a81e7,A-37f969,2024-06-25,support,96.45,True,False,False,
C-a174be,A-b07346,2024-11-12,budget,0.0,False,False,False,missing features
C-accb39,A-1e50e0,2023-11-01,budget,54.94,False,False,False,switched to competitor
C-92f889,A-956988,2024-12-30,unknown,0.0,False,True,True,too expensive
C-a8ac26,A-b20d99,2024-03-04,features,0.0,False,False,False,missing features
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,
C-ee531b,A-751bd4,2024-09-22,budget,0.0,False,False,False,
C-e6a0f0,A-ccabf0,2024-10-31,features,0.0,False,False,False,too expensive
C-9328ba,A-0a62f5,2024-10-10,features,0.0,False,False,False,switched to competitor
C-c89493,A-3ce5b8,2024-09-18,features,261.49,False,False,False,too expensive
C-c54ef0,A-3b5cd1,2024-08-30,unknown,77.87,False,False,False,missing features
C-bb3556,A-bcf664,2024-08-08,competitor,0.0,False,False,False,
C-875dc5,A-b9f5b1,2023-07-21,features,0.0,False,False,False,switched to competitor
C-c8f7b4,A-0dbdc6,2024-04-14,pricing,175.02,False,False,False,too expensive
C-865f19,A-c9bb3e,2024-07-29,pricing,0.0,False,False,False,switched to competitor
C-102614,A-96e141,2024-07-22,budget,43.53,False,False,False,too expensive
C-4ab0e2,A-e7a1e2,2024-09-08,support,0.0,True,False,False,missing features
C-742a59,A-812c5b,2024-05-11,support,11.83,False,False,False,missing features
C-1f9cf2,A-1e50e0,2024-04-26,pricing,0.0,False,False,False,switched to competitor
C-5d5a64,A-c70870,2024-12-13,competitor,0.0,False,False,False,switched to competitor
C-f81017,A-271f46,2024-08-09,features,0.0,False,False,True,missing features
C-3292be,A-592832,2024-10-04,support,22.66,False,False,False,switched to competitor
C-e582ea,A-180abf,2023-12-04,support,0.0,False,False,False,
C-100b97,A-0a282f,2024-10-06,features,0.0,False,False,False,switched to competitor
C-8843d4,A-e51ec7,2024-01-29,support,0.0,False,False,False,missing features
C-8b3048,A-034368,2024-08-29,features,0.0,True,False,False,
C-48f456,A-8bde0c,2024-11-28,features,0.0,False,False,False,missing features
C-dcdebc,A-08e34e,2024-07-13,competitor,225.18,False,False,False,switched to competitor
C-8b229b,A-44dc83,2024-11-29,unknown,98.48,False,True,False,missing features
C-7d13bf,A-78f02b,2024-12-02,unknown,0.0,False,False,False,missing features
C-78a2bb,A-fce879,2024-12-03,features,0.0,True,False,False,switched to competitor
C-935f48,A-34ea2f,2024-10-05,unknown,0.0,True,False,False,
C-366a49,A-0baac2,2024-12-24,unknown,68.65,False,False,False,switched to competitor
C-62e7a3,A-ac85cd,2024-10-20,features,83.94,False,False,False,
C-f3aca2,A-439b2f,2024-11-18,features,0.0,False,False,False,switched to competitor
C-3b7c60,A-0f6450,2024-12-29,competitor,0.0,False,False,False,missing features
C-736efa,A-b78bf8,2024-12-06,unknown,0.0,False,False,False,
C-f6e873,A-3b5cd1,2024-07-24,support,35.3,False,False,False,too expensive
C-2e2a3f,A-7df7a7,2024-07-10,budget,0.0,False,False,False,missing features
C-762dd4,A-396e5f,2024-11-30,features,0.0,False,False,False,too expensive
C-f72425,A-32fb14,2023-08-19,budget,0.0,False,False,False,switched to competitor
C-0e273d,A-4e0e85,2024-03-14,pricing,0.0,False,False,False,
C-345bbc,A-922109,2024-08-03,support,0.0,True,True,False,too expensive
C-555f55,A-794a0b,2024-09-09,budget,0.0,False,True,False,switched to competitor
C-a26ce8,A-5a184f,2024-03-19,support,0.0,False,True,False,missing features
C-86a446,A-ccb686,2024-06-22,budget,0.0,True,False,False,
C-10ce15,A-029f69,2024-12-14,competitor,32.73,False,False,False,too expensive
C-2698c2,A-9208f0,2023-11-18,features,0.0,False,False,False,switched to competitor
C-48906a,A-5a92e7,2024-11-11,budget,0.0,True,False,False,missing features
C-4f7342,A-f45426,2024-11-13,pricing,0.0,False,False,False,switched to competitor
C-23b1d0,A-2446e3,2024-07-29,unknown,47.06,False,False,False,
C-7f909a,A-d535f6,2024-11-26,features,0.0,False,False,False,switched to competitor
C-f208d4,A-6da850,2024-10-25,competitor,0.0,False,False,False,missing features
C-acbc2b,A-249769,2024-12-16,budget,0.0,False,False,False,
C-859615,A-8e47ca,2024-06-01,competitor,0.0,False,False,False,missing features
C-035985,A-6da850,2024-01-15,pricing,0.0,False,False,False,too expensive
C-7cace4,A-484819,2023-12-29,support,0.0,False,False,False,
C-06a2e6,A-bbc346,2024-10-31,competitor,0.0,True,False,False,too expensive
C-eb9d5e,A-eb1312,2024-09-28,unknown,0.0,False,False,False,switched to competitor
C-a45909,A-bf7919,2024-12-06,support,0.0,False,False,False,
C-7f85f4,A-bece89,2024-07-27,unknown,53.61,False,False,False,switched to competitor
C-234aa7,A-832ec2,2023-12-19,unknown,0.0,False,False,False,too expensive
C-0ba0a0,A-22d9d2,2024-10-17,pricing,0.0,False,False,False,
C-d05e42,A-32728c,2024-06-22,support,0.0,False,False,False,
C-8d3540,A-37f969,2024-12-12,competitor,50.41,False,False,False,
C-bedd8c,A-1b9609,2024-11-16,unknown,0.0,False,False,False,
C-1cea52,A-310452,2024-12-25,budget,0.0,True,False,False,
C-1e0b1a,A-016043,2024-08-11,competitor,84.75,False,False,False,switched to competitor
C-c4e7a7,A-80eeb6,2023-10-19,features,0.0,False,False,False,missing features
C-915973,A-7e0a10,2024-09-26,budget,0.0,False,False,False,missing features
C-a403fc,A-6a7c9d,2024-11-21,support,0.0,False,False,False,too expensive
C-025044,A-098560,2024-09-04,pricing,0.0,False,False,False,too expensive
C-a54597,A-9f9299,2024-03-24,features,0.0,False,False,False,missing features
C-7ab794,A-ef84cf,2024-11-20,support,0.0,False,False,False,too expensive
C-7cd070,A-13466a,2024-04-18,pricing,6.51,False,True,True,switched to competitor
C-1727c8,A-65aeb5,2024-02-27,pricing,0.0,False,False,False,
C-bb9db4,A-659280,2024-11-22,pricing,27.75,False,False,False,switched to competitor
C-0a0bf7,A-d49cc5,2024-04-12,competitor,0.0,False,False,False,missing features
C-64ba8a,A-cc8c8f,2024-09-12,budget,0.0,True,False,False,missing features
C-fab429,A-180abf,2024-09-12,support,0.0,False,False,False,
