ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0024de,A-712f1c,2023-07-27,2023-07-28 03:00:00,27.0,high,74,,False
T-4d04b9,A-e43bf7,2024-07-08,2024-07-09 03:00:00,27.0,urgent,144,,False
T-d5e12f,A-0f3e88,2024-10-17,2024-10-17 19:00:00,19.0,urgent,93,4.0,False
T-dfce9a,A-4c56c9,2024-09-08,2024-09-09 23:00:00,47.0,medium,126,5.0,False
T-c59f77,A-6f8ad2,2024-11-30,2024-12-01 02:00:00,26.0,medium,8,,False
T-90f06d,A-94c3cd,2023-07-27,2023-07-27 09:00:00,9.0,medium,60,,False
T-30b537,A-2e4581,2023-09-09,2023-09-10 03:00:00,27.0,urgent,64,3.0,False
T-60242d,A-72799b,2024-01-29,2024-01-29 12:00:00,12.0,low,56,4.0,True
T-7119c9,A-b179bf,2023-08-27,2023-08-27 16:00:00,16.0,urgent,154,,False
T-b0edf2,A-7cfe77,2024-05-06,2024-05-07 04:00:00,28.0,medium,150,3.0,False
T-98a84a,A-157070,2023-12-20,2023-12-21 18:00:00,42.0,low,26,,False
T-04457d,A-854864,2024-07-18,2024-07-20 00:00:00,48.0,medium,140,5.0,False
T-6bd715,A-4e0e85,2024-05-14,2024-05-16 02:00:00,50.0,medium,129,,False
T-13f1b8,A-5b4ebb,2023-12-05,2023-12-06 02:00:00,26.0,low,121,5.0,False
T-a3288b,A-098560,2024-12-28,2024-12-30 07:00:00,55.0,low,26,3.0,False
T-f8e2c3,A-40a557,2024-03-01,2024-03-03 21:00:00,69.0,high,60,,False
T-4e7816,A-05f0e5,2024-10-03,2024-10-04 12:00:00,36.0,low,108,,False
T-0dea8b,A-671f31,2024-01-24,2024-01-26 12:00:00,60.0,medium,45,3.0,False
T-ca96ba,A-410e86,2024-04-28,2024-04-28 03:00:00,3.0,high,64,,False
T-ac0b69,A-ac9111,2024-03-02,2024-03-02 14:00:00,14.0,low,86,,False
T-0f1c67,A-78f02b,2024-10-09,2024-10-11 00:00:00,48.0,low,51,4.0,False
T-4fb3f2,A-c62e55,2023-03-05,2023-03-07 11:00:00,59.0,medium,136,3.0,False
T-2b4423,A-158f4e,2023-12-07,2023-12-07 11:00:00,11.0,high,99,,False
T-b17401,A-50bb9f,2024-02-21,2024-02-21 12:00:00,12.0,high,171,3.0,False
T-462ece,A-b9f5b1,2023-07-17,2023-07-19 03:00:00,51.0,low,50,3.0,True
T-066714,A-b2225d,2024-04-11,2024-04-12 00:00:00,24.0,high,52,3.0,False
T-8c694d,A-883b7d,2024-05-24,2024-05-24 15:00:00,15.0,low,39,3.0,True
T-804c6c,A-751bd4,2024-10-29,2024-10-30 04:00:00,28.0,medium,49,4.0,False
T-64b0b8,A-533452,2023-09-27,2023-09-29 08:00:00,56.0,low,16,5.0,False
T-bfa749,A-684255,2023-08-04,2023-08-04 01:00:00,1.0,low,137,5.0,False
T-3b24c1,A-0aaf6e,2024-06-09,2024-06-11 06:00:00,54.0,high,151,3.0,False
T-68c8a6,A-7c4956,2024-09-23,2024-09-23 19:00:00,19.0,high,34,,False
T-bbe374,A-3ce5b8,2024-01-15,2024-01-17 02:00:00,50.0,low,155,,False
T-bccf63,A-82d8a6,2024-11-29,2024-12-01 22:00:00,70.0,high,67,3.0,False
T-98448a,A-462d45,2024-02-10,2024-02-10 18:00:00,18.0,high,99,4.0,False
T-f68dde,A-118d55,2024-09-08,2024-09-08 14:00:00,14.0,medium,1,4.0,False
T-5f84c5,A-1f559b,2024-01-22,2024-01-24 14:00:00,62.0,high,28,4.0,False
T-9bae5a,A-7cfe77,2024-04-14,2024-04-14 23:00:00,23.0,urgent,176,5.0,False
T-22842d,A-533452,2024-08-05,2024-08-05 08:00:00,8.0,high,66,3.0,False
T-f8b58d,A-ee42db,2023-01-16,2023-01-18 09:00:00,57.0,urgent,144,,False
T-3a2a66,A-e98302,2023-09-15,2023-09-17 18:00:00,66.0,low,150,,False
T-490c4a,A-503d5a,2023-08-08,2023-08-08 09:00:00,9.0,urgent,179,,False
T-6cce32,A-659280,2024-06-12,2024-06-12 06:00:00,6.0,medium,176,4.0,False
T-ec46f5,A-f5641b,2023-04-19,2023-04-21 07:00:00,55.0,high,93,,False
T-219077,A-fb186e,2024-02-09,2024-02-10 18:00:00,42.0,medium,58,,False
T-6b6fb7,A-716841,2024-02-11,2024-02-11 04:00:00,4.0,medium,119,3.0,False
T-2e5ba4,A-0be015,2024-12-05,2024-12-05 14:00:00,14.0,low,46,4.0,True
T-8001a4,A-c9bb3e,2023-05-08,2023-05-08 11:00:00,11.0,urgent,53,4.0,True
T-a1d9dd,A-fd7ad3,2024-04-27,2024-04-29 16:00:00,64.0,urgent,21,3.0,False
T-121d6f,A-d5a319,2024-09-17,2024-09-17 17:00:00,17.0,low,132,4.0,True
T-fd1ba2,A-d27f50,2023-12-15,2023-12-16 16:00:00,40.0,high,158,4.0,False
T-b6d7ac,A-a0ca4e,2023-10-29,2023-10-29 11:00:00,11.0,low,12,5.0,True
T-f2b9a5,A-f6b2fb,2024-01-19,2024-01-20 12:00:00,36.0,medium,138,5.0,True
T-61fc87,A-034368,2023-01-13,2023-01-15 17:00:00,65.0,medium,127,3.0,False
T-00fa83,A-9208f0,2023-04-01,2023-04-03 22:00:00,70.0,low,6,,False
T-358dd5,A-ced9aa,2023-08-20,2023-08-22 09:00:00,57.0,medium,131,,False
T-54e843,A-bb3bd4,2024-10-06,2024-10-06 08:00:00,8.0,medium,63,3.0,False
T-50ad36,A-922109,2023-05-07,2023-05-08 02:00:00,26.0,medium,126,,False
T-06bf16,A-4a4c2d,2023-08-02,2023-08-03 06:00:00,30.0,medium,44,4.0,False
T-f155f0,A-b179bf,2023-08-06,2023-08-06 06:00:00,6.0,high,156,,False
T-777753,A-ce66f8,2023-01-23,2023-01-25 21:00:00,69.0,low,74,,False
T-857a8d,A-bb3bd4,2024-01-08,2024-01-10 18:00:00,66.0,medium,52,,False
T-384dcb,A-bc4d48,2024-11-18,2024-11-20 23:00:00,71.0,urgent,6,5.0,True
T-970c6c,A-439b2f,2024-12-12,2024-12-12 20:00:00,20.0,urgent,123,,False
T-50c7f8,A-a1bbb6,2024-01-18,2024-01-19 12:00:00,36.0,urgent,47,,False
T-a528f4,A-b78bf8,2023-04-15,2023-04-16 00:00:00,24.0,urgent,7,3.0,False
T-7b7a5a,A-1e50e0,2024-10-02,2024-10-02 19:00:00,19.0,high,170,5.0,True
T-c9a73c,A-b9f5b1,2024-10-24,2024-10-24 18:00:00,18.0,urgent,86,4.0,False
T-486b6b,A-883b7d,2023-01-28,2023-01-28 22:00:00,22.0,urgent,102,5.0,False
T-19cc99,A-c16b88,2023-04-28,2023-04-30 05:00:00,53.0,high,134,,False
T-35fc90,A-e98302,2023-10-23,2023-10-25 19:00:00,67.0,low,121,,False
T-d4142b,A-700ade,2023-05-25,2023-05-27 18:00:00,66.0,urgent,69,4.0,False
T-6ba215,A-56962b,2023-03-24,2023-03-26 18:00:00,66.0,low,73,3.0,False
T-e5c785,A-b54c01,2023-03-07,2023-03-08 02:00:00,26.0,medium,41,3.0,False
T-4f0d98,A-e40f45,2023-03-31,2023-03-31 10:00:00,10.0,urgent,19,,False
T-e97da3,A-45ce7a,2024-04-04,2024-04-05 01:00:00,25.0,low,81,,False
T-990a0e,A-fa3095,2024-11-06,2024-11-08 00:00:00,48.0,high,28,,False
T-ce1dee,A-d792a6,2024-10-10,2024-10-11 08:00:00,32.0,low,126,,False
T-b7b797,A-bbc346,2024-03-11,2024-03-12 11:00:00,35.0,medium,24,,False
T-847498,A-7cfe77,2023-07-17,2023-07-19 11:00:00,59.0,high,36,,False
T-2ef49b,A-cc1d8d,2023-09-15,2023-09-16 21:00:00,45.0,medium,33,5.0,False
T-fb6fa3,A-0a62f5,2024-11-26,2024-11-26 08:00:00,8.0,urgent,57,,False
T-a3f900,A-ae052e,2023-07-22,2023-07-23 05:00:00,29.0,medium,126,3.0,False
T-b9e7df,A-526d93,2023-05-10,2023-05-10 05:00:00,5.0,medium,158,,False
T-0e6db2,A-ccc747,2024-06-27,2024-06-29 12:00:00,60.0,urgent,169,5.0,False
T-4c2f4b,A-726cfa,2023-12-02,2023-12-03 13:00:00,37.0,high,150,,False
T-e7dc15,A-39868b,2024-03-26,2024-03-26 22:00:00,22.0,medium,137,,False
T-9876fb,A-2e3bad,2024-01-18,2024-01-18 14:00:00,14.0,high,92,,False
T-2c6679,A-0be015,2024-07-16,2024-07-18 03:00:00,51.0,medium,73,5.0,False
T-03303d,A-87aa7b,2023-11-29,2023-12-01 11:00:00,59.0,high,7,,True
T-1ed4c4,A-c62e55,2024-03-21,2024-03-21 15:00:00,15.0,urgent,129,5.0,False
T-7c6ab3,A-65a46c,2024-12-23,2024-12-25 09:00:00,57.0,urgent,96,5.0,False
T-67bfcf,A-3932db,2023-09-01,2023-09-02 12:00:00,36.0,urgent,144,3.0,False
T-088eb6,A-ac14bb,2024-03-28,2024-03-28 21:00:00,21.0,high,23,,False
T-b4bec0,A-117171,2023-08-05,2023-08-06 09:00:00,33.0,urgent,137,,False
T-03d219,A-ae052e,2024-01-02,2024-01-04 05:00:00,53.0,urgent,6,,False
T-7c2d38,A-ad3abd,2024-11-03,2024-11-03 01:00:00,1.0,high,35,,False
T-1112c6,A-de24d5,2023-09-22,2023-09-25 00:00:00,72.0,urgent,24,3.0,False
T-938c6d,A-a8d89d,2023-08-19,2023-08-21 12:00:00,60.0,low,132,,False
T-d2e273,A-9f9299,2024-10-05,2024-10-05 05:00:00,5.0,high,94,,False
T-bdc72c,A-34d880,2024-11-19,2024-11-21 14:00:00,62.0,medium,106,3.0,False
T-7d4777,A-66224b,2024-11-20,2024-11-21 16:00:00,40.0,medium,4,3.0,False
T-03624c,A-7c6b6b,2024-01-29,2024-01-31 10:00:00,58.0,low,68,3.0,False
T-3fab11,A-463db0,2023-03-12,2023-03-14 07:00:00,55.0,high,123,5.0,False
T-37f2cf,A-faa28c,2024-05-29,2024-05-30 17:00:00,41.0,urgent,127,5.0,True
T-826f63,A-f9cc74,2023-07-23,2023-07-26 00:00:00,72.0,low,169,,False
T-f7ec04,A-ad296b,2023-10-18,2023-10-18 16:00:00,16.0,urgent,74,3.0,True
T-856d24,A-dbc825,2023-05-05,2023-05-07 05:00:00,53.0,high,166,,False
T-cbfd6b,A-8b0451,2023-03-15,2023-03-16 01:00:00,25.0,medium,137,4.0,False
T-66636b,A-37f969,2023-07-25,2023-07-27 22:00:00,70.0,medium,116,4.0,False
T-be44ea,A-bc4d48,2024-09-17,2024-09-19 01:00:00,49.0,medium,19,5.0,False
T-fcd539,A-7da956,2024-07-12,2024-07-12 21:00:00,21.0,urgent,97,,False
T-433a53,A-297a2d,2023-02-28,2023-02-28 10:00:00,10.0,high,160,3.0,False
T-5fb9f7,A-0f7d77,2023-01-06,2023-01-06 19:00:00,19.0,medium,88,,False
T-ced995,A-76fa4d,2024-06-24,2024-06-25 19:00:00,43.0,urgent,92,,False
T-9398db,A-bbe56f,2024-06-28,2024-06-30 00:00:00,48.0,low,107,5.0,False
T-58a90d,A-cb6cc6,2024-11-25,2024-11-26 02:00:00,26.0,high,170,3.0,False
T-8833a5,A-a1b80b,2023-12-02,2023-12-03 10:00:00,34.0,medium,150,4.0,False
T-ef7c6e,A-f446b6,2024-05-14,2024-05-14 01:00:00,1.0,high,47,5.0,False
T-b8ed8f,A-22f2df,2023-01-18,2023-01-18 11:00:00,11.0,high,99,,False
T-97fa24,A-f51f16,2023-06-16,2023-06-16 09:00:00,9.0,medium,73,3.0,False
T-290bd4,A-ccc747,2023-06-02,2023-06-02 03:00:00,3.0,medium,18,,False
T-c45238,A-3f9cc0,2024-11-03,2024-11-05 12:00:00,60.0,medium,139,,False
T-a8de52,A-5b4ebb,2024-11-07,2024-11-07 17:00:00,17.0,medium,128,5.0,False
T-73259c,A-54ecc2,2023-05-09,2023-05-09 20:00:00,20.0,medium,59,,False
T-eace7b,A-9c18c4,2023-02-12,2023-02-13 08:00:00,32.0,low,156,,False
T-9cb671,A-ce550d,2023-06-11,2023-06-13 07:00:00,55.0,high,73,,False
T-ae23c2,A-7e0a10,2023-03-09,2023-03-10 15:00:00,39.0,urgent,127,5.0,False
T-1cbbd0,A-c1dfe1,2024-01-28,2024-01-29 09:00:00,33.0,urgent,38,4.0,False
T-78b6e2,A-55f257,2023-09-11,2023-09-12 07:00:00,31.0,high,45,5.0,False
T-a941f1,A-a09355,2023-10-20,2023-10-20 08:00:00,8.0,low,129,5.0,False
T-667845,A-82861f,2024-09-17,2024-09-17 11:00:00,11.0,urgent,77,3.0,False
T-546223,A-ccabf0,2023-01-04,2023-01-06 13:00:00,61.0,high,46,4.0,False
T-6a2899,A-4437e4,2023-09-12,2023-09-14 03:00:00,51.0,medium,136,,True
T-ceb781,A-712533,2023-07-17,2023-07-17 09:00:00,9.0,low,108,3.0,False
T-365342,A-39868b,2023-04-04,2023-04-05 05:00:00,29.0,low,146,5.0,False
T-e9e7a7,A-3be56b,2023-06-17,2023-06-17 22:00:00,22.0,low,107,3.0,False
T-4be927,A-96bbc6,2023-11-04,2023-11-06 14:00:00,62.0,low,31,3.0,False
T-5b7600,A-bd4513,2023-08-28,2023-08-29 21:00:00,45.0,medium,127,5.0,False
